# Event 'cycles'
#
# Baseline  Delta Abs  Shared Object             Symbol                                         
# ........  .........  ........................  ...............................................
#
     0.05%     -0.01%  [kernel.kallsyms]         [k] down_write
     0.00%     +0.01%  [kernel.kallsyms]         [k] sock_poll
     0.05%     -0.01%  [kernel.kallsyms]         [k] __folio_end_writeback
               +0.01%  [kernel.kallsyms]         [k] jbd2_log_start_commit
     0.01%     -0.01%  [kernel.kallsyms]         [k] ext4_fc_init_inode
     0.03%     -0.01%  [kernel.kallsyms]         [k] lookup_fast
     0.02%     +0.01%  [kernel.kallsyms]         [k] __get_user_1
     0.02%     -0.01%  [kernel.kallsyms]         [k] __legitimize_mnt
     0.02%     -0.01%  [kernel.kallsyms]         [k] ext4_cache_extents
     0.00%     +0.01%  [kernel.kallsyms]         [k] __inode_wait_for_writeback
     0.01%     +0.01%  [kernel.kallsyms]         [k] shrink_lock_dentry.part.0
     0.01%     -0.01%  [kernel.kallsyms]         [k] vfs_unlink
     0.01%     -0.01%  [kernel.kallsyms]         [k] generic_file_read_iter
     0.03%     +0.01%  [kernel.kallsyms]         [k] next_uptodate_page
     0.02%     -0.01%  [kernel.kallsyms]         [k] __ext4_unlink
     0.01%     -0.01%  [kernel.kallsyms]         [k] ext4_ext_try_to_merge_right
     0.00%     +0.01%  [kernel.kallsyms]         [k] elv_rb_add
     0.07%     -0.01%  [kernel.kallsyms]         [k] ext4_es_insert_delayed_block
     0.03%     -0.01%  [kernel.kallsyms]         [k] folio_end_writeback
     0.01%     -0.01%  [kernel.kallsyms]         [k] rcu_gp_fqs_loop
               +0.01%  [kernel.kallsyms]         [k] set_root
               +0.01%  [kernel.kallsyms]         [k] shrink_page_list
     0.01%     +0.01%  [kernel.kallsyms]         [k] restore_nameidata
     0.01%     -0.01%  [kernel.kallsyms]         [k] xas_nomem
     0.00%     +0.01%  [kernel.kallsyms]         [k] __se_sys_openat
     0.01%     +0.01%  libsystemd-shared-241.so  [.] 0x0002e640
     0.00%     +0.01%  [kernel.kallsyms]         [k] elv_rb_find
     0.01%     -0.01%  [kernel.kallsyms]         [k] ext4_ext_try_to_merge
     0.02%     +0.01%  [kernel.kallsyms]         [k] alloc_page_buffers
     0.01%     -0.01%  [kernel.kallsyms]         [k] ext4_ext_get_access
     0.03%     +0.01%  [kernel.kallsyms]         [k] ext4_inode_table
     0.00%     +0.01%  [kernel.kallsyms]         [k] page_remove_rmap
     0.00%     +0.01%  [kernel.kallsyms]         [k] ext4_ext_search_right
     0.02%     -0.01%  [kernel.kallsyms]         [k] ext4_claim_free_clusters
     0.01%     -0.01%  [kernel.kallsyms]         [k] mmc_issue_type
     0.02%     -0.01%  [kernel.kallsyms]         [k] lru_add_drain_cpu
     0.04%     +0.01%  [kernel.kallsyms]         [k] filemap_add_folio
     0.13%     -0.01%  [kernel.kallsyms]         [k] strncpy_from_user
     0.00%     +0.01%  [kernel.kallsyms]         [k] wq_worker_running
     0.01%     -0.01%  [kernel.kallsyms]         [k] bio_free
